model_name,km_driven,fuel_type,transmission,owner,price,link,engine_capacity
2013 Maruti Swift,59.08k km,Petrol,Manual,1st owner,₹3.34 lakh,https://www.cars24.com/buy-used-maruti-swift-2013-cars-hyderabad-10454149710/,1197cc
2022 Renault Kwid,19.46k km,Petrol,Auto,1st owner,₹4.81 lakh,https://www.cars24.com/buy-used-renault-kwid-2022-cars-hyderabad-10460744711/,999cc
2014 Maruti Wagon R 1.0,45.94k km,Petrol,Manual,1st owner,₹2.80 lakh,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2014-cars-hyderabad-10420946715/,998cc
2014 Maruti Alto 800,43.97k km,Petrol,Manual,1st owner,₹2.01 lakh,https://www.cars24.com/buy-used-maruti-alto-800-2014-cars-hyderabad-10438546734/,796cc
2016 Honda City,91.70k km,Petrol,Manual,2nd owner,₹4.96 lakh,https://www.cars24.com/buy-used-honda-city-2016-cars-hyderabad-10463847737/,1497cc
2022 Tata TIGOR,30.79k km,CNG,Manual,1st owner,₹6.84 lakh,https://www.cars24.com/buy-used-tata-tigor-2022-cars-hyderabad-10474448773/,1199cc
2015 Hyundai Xcent,40.89k km,Petrol,Manual,2nd owner,₹3.60 lakh,https://www.cars24.com/buy-used-hyundai-xcent-2015-cars-hyderabad-10418589702/,1197cc
2021 Maruti Baleno,67.00k km,Petrol,Manual,1st owner,₹6.35 lakh,https://www.cars24.com/buy-used-maruti-baleno-2021-cars-hyderabad-10442845751/,1197cc
2012 Honda Brio,60.02k km,Petrol,Manual,2nd owner,₹2.53 lakh,https://www.cars24.com/buy-used-honda-brio-2012-cars-hyderabad-10428249742/,1198cc
2020 Renault TRIBER,73.95k km,Petrol,Manual,2nd owner,₹4.78 lakh,https://www.cars24.com/buy-used-renault-triber-2020-cars-hyderabad-18651637720/,999cc
2022 MG ASTOR,55.15k km,Petrol,Auto,1st owner,₹12.06 lakh,https://www.cars24.com/buy-used-mg-astor-2022-cars-hyderabad-10470048742/,1498cc
2020 Hyundai AURA,73.80k km,Petrol,Manual,1st owner,₹5.79 lakh,https://www.cars24.com/buy-used-hyundai-aura-2020-cars-hyderabad-10421948786/,998cc
2021 Maruti Swift,51.51k km,Petrol,Auto,1st owner,₹6.01 lakh,https://www.cars24.com/buy-used-maruti-swift-2021-cars-hyderabad-10460849736/,1197cc
2021 KIA SONET,66.91k km,Petrol,Manual,1st owner,₹7.29 lakh,https://www.cars24.com/buy-used-kia-sonet-2021-cars-hyderabad-10418242723/,1197cc
2019 Maruti Baleno,59.70k km,Petrol,Manual,1st owner,₹5.32 lakh,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-hyderabad-10475247729/,
2020 Renault TRIBER,23.82k km,Petrol,Manual,1st owner,₹4.97 lakh,https://www.cars24.com/buy-used-renault-triber-2020-cars-hyderabad-10444249722/,999cc
2021 Hyundai GRAND I10 NIOS,34.55k km,Petrol,Manual,1st owner,₹6.15 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2021-cars-hyderabad-10424745758/,998cc
2019 Hyundai NEW SANTRO,1.0L km,Petrol,Auto,2nd owner,₹3.65 lakh,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-hyderabad-10444240735/,1086cc
2023 Tata PUNCH,40.29k km,Petrol,Auto,1st owner,₹7.10 lakh,https://www.cars24.com/buy-used-tata-punch-2023-cars-hyderabad-10446348754/,1199cc
2022 Mahindra XUV300,49.79k km,Diesel,Manual,1st owner,₹9.40 lakh,https://www.cars24.com/buy-used-mahindra-xuv300-2022-cars-hyderabad-10453625770/,1497cc
2015 Hyundai Grand i10,60.71k km,Petrol,Manual,2nd owner,₹3.96 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-hyderabad-10453249749/,1197cc
2021 Hyundai Creta,47.43k km,Petrol,Auto,1st owner,₹13.78 lakh,https://www.cars24.com/buy-used-hyundai-creta-2021-cars-hyderabad-10459431755/,1353cc
2014 Maruti Alto K10,62.28k km,Petrol,Manual,1st owner,₹2.12 lakh,https://www.cars24.com/buy-used-maruti-alto-k10-2014-cars-hyderabad-10446945791/,
2014 Maruti Alto K10,68.38k km,Petrol,Manual,1st owner,₹2.14 lakh,https://www.cars24.com/buy-used-maruti-alto-k10-2014-cars-hyderabad-10422741780/,
2018 Hyundai Elite i20,52.11k km,Petrol,Manual,1st owner,₹6.05 lakh,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-hyderabad-10484443721/,1197cc
2021 Hyundai Creta,34.65k km,Petrol,Auto,1st owner,₹13.47 lakh,https://www.cars24.com/buy-used-hyundai-creta-2021-cars-hyderabad-10411224707/,1353cc
2019 Tata NEXON,95.69k km,Petrol,Manual,1st owner,₹5.55 lakh,https://www.cars24.com/buy-used-tata-nexon-2019-cars-hyderabad-10405649725/,1198cc
2020 Hyundai AURA,81.12k km,Petrol,Auto,1st owner,₹5.63 lakh,https://www.cars24.com/buy-used-hyundai-aura-2020-cars-hyderabad-12259049734/,1197cc
2022 Tata PUNCH,26.64k km,Petrol,Manual,1st owner,₹7.06 lakh,https://www.cars24.com/buy-used-tata-punch-2022-cars-hyderabad-10417840780/,1199cc
2016 Honda Brio,58.08k km,Petrol,Auto,1st owner,₹3.96 lakh,https://www.cars24.com/buy-used-honda-brio-2016-cars-hyderabad-10428840712/,1198cc
2021 Maruti Baleno,36.63k km,Petrol,Manual,1st owner,₹6.18 lakh,https://www.cars24.com/buy-used-maruti-baleno-2021-cars-hyderabad-10456844786/,1197cc
2019 Maruti Baleno,56.10k km,Petrol,Manual,1st owner,₹6.50 lakh,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-hyderabad-10472127763/,1197cc
2021 Toyota URBAN CRUISER,33.90k km,Petrol,Manual,1st owner,₹8.47 lakh,https://www.cars24.com/buy-used-toyota-urban-cruiser-2021-cars-hyderabad-10411049734/,1462cc
2022 Tata ALTROZ,24.08k km,Petrol,Manual,1st owner,₹7.32 lakh,https://www.cars24.com/buy-used-tata-altroz-2022-cars-hyderabad-10467740747/,1199cc
2019 Hyundai Verna,1.1L km,Petrol,Auto,1st owner,₹8.16 lakh,https://www.cars24.com/buy-used-hyundai-verna-2019-cars-hyderabad-10499745721/,1591cc
2016 Hyundai Creta,84.30k km,Petrol,Manual,2nd owner,₹7.04 lakh,https://www.cars24.com/buy-used-hyundai-creta-2016-cars-hyderabad-10470144781/,1591cc
2022 Skoda KUSHAQ,27.77k km,Petrol,Manual,1st owner,₹10.56 lakh,https://www.cars24.com/buy-used-skoda-kushaq-2022-cars-hyderabad-10470041720/,999cc
2021 Maruti S PRESSO,30.98k km,Petrol,Manual,2nd owner,₹3.56 lakh,https://www.cars24.com/buy-used-maruti-s-presso-2021-cars-hyderabad-10461849718/,998cc
2022 Renault Kiger,44.19k km,Petrol,Manual,1st owner,₹6.74 lakh,https://www.cars24.com/buy-used-renault-kiger-2022-cars-hyderabad-10472141732/,999cc
2023 Skoda SLAVIA,12.57k km,Petrol,Manual,1st owner,₹11.73 lakh,https://www.cars24.com/buy-used-skoda-slavia-2023-cars-hyderabad-10434540726/,999cc
2023 Hyundai VENUE,34.41k km,Petrol,Manual,1st owner,₹9.18 lakh,https://www.cars24.com/buy-used-hyundai-venue-2023-cars-hyderabad-10484042729/,1197cc
2019 Hyundai VENUE,68.58k km,Petrol,Auto,1st owner,₹7.33 lakh,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-hyderabad-10417945724/,998cc
2021 Mahindra Thar,42.74k km,Petrol,Auto,1st owner,₹10.81 lakh,https://www.cars24.com/buy-used-mahindra-thar-2021-cars-hyderabad-10400628770/,1997cc
2022 Mahindra Thar,40.17k km,Petrol,Auto,1st owner,₹12.34 lakh,https://www.cars24.com/buy-used-mahindra-thar-2022-cars-hyderabad-10440946725/,1997cc
2023 Renault TRIBER,13.14k km,Petrol,Auto,1st owner,₹6.69 lakh,https://www.cars24.com/buy-used-renault-triber-2023-cars-hyderabad-10418645781/,999cc
2022 Maruti Grand Vitara,56.61k km,Petrol,Manual,2nd owner,₹10.38 lakh,https://www.cars24.com/buy-used-maruti-grand-vitara-2022-cars-hyderabad-10484743785/,1462cc
2021 Hyundai NEW I20,56.06k km,Petrol,Manual,1st owner,₹7.68 lakh,https://www.cars24.com/buy-used-hyundai-new-i20-2021-cars-hyderabad-10418646732/,998cc
2017 Maruti Ciaz,69.25k km,Diesel,Manual,2nd owner,₹5.93 lakh,https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-hyderabad-10422043730/,1248cc
2020 Tata NEXON,66.02k km,Petrol,Manual,1st owner,₹6.94 lakh,https://www.cars24.com/buy-used-tata-nexon-2020-cars-hyderabad-10499449782/,1199cc
2017 Maruti Wagon R 1.0,70.55k km,Petrol,Manual,2nd owner,₹3.29 lakh,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-hyderabad-10413749713/,998cc
2019 Tata Tiago,99.05k km,Petrol,Manual,1st owner,₹4.66 lakh,https://www.cars24.com/buy-used-tata-tiago-2019-cars-hyderabad-10403948733/,1199cc
2019 Maruti Baleno,83.65k km,Petrol,Auto,1st owner,₹5.42 lakh,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-hyderabad-10490244732/,1197cc
2021 Mahindra Thar,45.75k km,Petrol,Auto,1st owner,₹11.10 lakh,https://www.cars24.com/buy-used-mahindra-thar-2021-cars-hyderabad-10445540782/,1997cc
2022 Nissan MAGNITE,32.84k km,Petrol,Manual,1st owner,₹7.88 lakh,https://www.cars24.com/buy-used-nissan-magnite-2022-cars-hyderabad-10415343733/,999cc
2019 Renault Duster,53.55k km,Diesel,Auto,1st owner,₹7.34 lakh,https://www.cars24.com/buy-used-renault-duster-2019-cars-hyderabad-10496449750/,1461cc
2020 Tata NEXON,90.68k km,Petrol,Manual,1st owner,₹7.17 lakh,https://www.cars24.com/buy-used-tata-nexon-2020-cars-hyderabad-10442945736/,1199cc
2019 Maruti Ciaz,70.81k km,Petrol,Auto,1st owner,₹6.87 lakh,https://www.cars24.com/buy-used-maruti-ciaz-2019-cars-hyderabad-10462449733/,1462cc
2021 Skoda Rapid,34.97k km,Petrol,Manual,1st owner,₹8.55 lakh,https://www.cars24.com/buy-used-skoda-rapid-2021-cars-hyderabad-10438441784/,999cc
2022 Maruti BREZZA,18.71k km,Petrol,Auto,1st owner,₹9.58 lakh,https://www.cars24.com/buy-used-maruti-brezza-2022-cars-hyderabad-10447541745/,
2018 Hyundai Grand i10,1.1L km,Diesel,Manual,3rd owner,₹4.32 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-hyderabad-10423749729/,1186cc
2015 Nissan Micra Active,66.62k km,Petrol,Manual,2nd owner,₹3.06 lakh,https://www.cars24.com/buy-used-nissan-micra-active-2015-cars-hyderabad-10432641732/,1198cc
2023 Hyundai GRAND I10 NIOS,29.93k km,Petrol,Manual,1st owner,₹6.61 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2023-cars-hyderabad-10422343725/,1197cc
2020 Mahindra XUV500,64.37k km,Diesel,Manual,1st owner,₹11.51 lakh,https://www.cars24.com/buy-used-mahindra-xuv500-2020-cars-hyderabad-10439143745/,2179cc
2022 MG ASTOR,65.34k km,Petrol,Auto,1st owner,₹13.12 lakh,https://www.cars24.com/buy-used-mg-astor-2022-cars-hyderabad-10413449734/,1349cc
2020 Hyundai GRAND I10 NIOS,82.97k km,Petrol,Auto,1st owner,₹5.49 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2020-cars-hyderabad-10466943721/,1197cc
2020 Maruti New Wagon-R,35.38k km,Petrol,Auto,1st owner,₹4.94 lakh,https://www.cars24.com/buy-used-maruti-new-wagon-r-2020-cars-hyderabad-10419643729/,998cc
2019 Toyota Glanza,69.09k km,Petrol,Manual,1st owner,₹6.36 lakh,https://www.cars24.com/buy-used-toyota-glanza-2019-cars-hyderabad-10421140744/,1197cc
2014 Maruti Swift,87.48k km,Diesel,Manual,1st owner,₹3.95 lakh,https://www.cars24.com/buy-used-maruti-swift-2014-cars-hyderabad-10436326763/,1248cc
2018 Honda City,50.50k km,Petrol,Auto,1st owner,₹7.97 lakh,https://www.cars24.com/buy-used-honda-city-2018-cars-hyderabad-10492228717/,1497cc
2022 Tata NEXON,76.92k km,Diesel,Auto,2nd owner,₹10.56 lakh,https://www.cars24.com/buy-used-tata-nexon-2022-cars-hyderabad-10476647722/,1497cc
2017 Maruti Baleno,90.80k km,Diesel,Manual,1st owner,₹4.87 lakh,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-hyderabad-10495648783/,1248cc
2019 Jeep Compass,63.63k km,Petrol,Auto,2nd owner,₹12.90 lakh,https://www.cars24.com/buy-used-jeep-compass-2019-cars-hyderabad-10484245734/,1368cc
2016 Maruti Baleno,58.82k km,Petrol,Manual,2nd owner,₹4.51 lakh,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-hyderabad-10440849789/,1197cc
